Vmax,T,mean_inside,mean_outside,count_inside,count_outside
0.5,0.5,2.11654,184.94,8218,108049
0.5,1,2.11881,185.501,7895,107726
0.5,1.5,2.16832,184.739,8337,108163
0.5,2,2.17442,185.206,8083,107893
0.5,2.5,2.16581,185.543,7876,107700
0.5,3,2.14572,185.438,7948,107761
0.5,3.5,2.146,185.318,7992,107830
0.5,4,2.16088,185.616,7839,107658
0.5,4.5,2.14308,185.324,7981,107827
0.5,5,2.17083,185.149,8109,107926
1,0.5,1.0803,172.657,15907,115737
1,1,1.07215,172.634,15910,115753
1,1.5,1.07601,173.079,15631,115457
1,2,1.07436,172.736,15864,115685
1,2.5,1.09177,172.952,15725,115540
1,3,1.09105,172.486,16024,115850
1,3.5,1.09143,173.032,15665,115487
1,4,1.08066,172.247,16171,116011
1,4.5,1.08455,172.88,15759,115588
1,5,1.09216,172.531,15990,115820
1.5,0.5,0.724217,161.492,23907,123738
1.5,1,0.727036,161.742,23723,123547
1.5,1.5,0.717593,161.275,24053,123905
1.5,2,0.719285,162.121,23432,123261
1.5,2.5,0.722479,161.992,23510,123358
1.5,3,0.728313,162.056,23475,123309
1.5,3.5,0.734083,161.508,23886,123724
1.5,4,0.723049,161.334,24040,123859
1.5,4.5,0.723155,161.542,23870,123700
1.5,5,0.721475,161.649,23777,123619
2,0.5,0.547091,151.344,32221,132033
2,1,0.540829,151.971,31672,131491
2,1.5,0.543035,152.117,31565,131365
2,2,0.546864,152.248,31416,131252
2,2.5,0.546472,151.436,32109,131953
2,3,0.545973,152.126,31514,131357
2,3.5,0.545233,151.901,31736,131551
2,4,0.541668,152.19,31455,131303
2,4.5,0.545538,152.039,31586,131432
2,5,0.542891,151.877,31764,131572
2.5,0.5,0.437139,142.8,40124,139933
2.5,1,0.438046,143.47,39471,139281
2.5,1.5,0.43499,143.164,39744,139579
2.5,2,0.436249,143.659,39277,139099
2.5,2.5,0.433294,142.966,39955,139772
2.5,3,0.43558,143.123,39781,139619
2.5,3.5,0.439773,143.239,39672,139505
2.5,4,0.434826,143.57,39361,139186
2.5,4.5,0.432818,142.902,40014,139835
2.5,5,0.43518,143.672,39248,139087
3,0.5,0.362936,135.914,47183,147026
3,1,0.36254,135.149,48057,147856
3,1.5,0.362304,135.882,47243,147061
3,2,0.364753,135.8,47301,147148
3,2.5,0.364017,136.2,46890,146718
3,3,0.36576,135.791,47313,147158
3,3.5,0.363727,135.911,47217,147029
3,4,0.360144,136.004,47085,146930
3,4.5,0.361736,135.714,47434,147242
3,5,0.36233,135.91,47219,147030
3.5,0.5,0.312887,129.128,54913,154752
3.5,1,0.310214,129.25,54785,154607
3.5,1.5,0.31127,129.398,54589,154430
3.5,2,0.310907,129.005,55054,154900
3.5,2.5,0.313005,128.48,55707,155531
3.5,3,0.311616,128.765,55359,155188
3.5,3.5,0.312657,128.754,55355,155201
3.5,4,0.313807,128.733,55376,155225
3.5,4.5,0.309887,128.616,55560,155368
3.5,5,0.310827,128.788,55331,155160
4,0.5,0.273064,123.024,62606,162431
4,1,0.272316,123.199,62388,162201
4,1.5,0.272752,122.726,63023,162825
4,2,0.272802,122.247,63623,163461
4,2.5,0.272847,122.447,63367,163195
4,3,0.272607,122.459,63343,163179
4,3.5,0.272068,122.586,63221,163010
4,4,0.271938,122.686,63056,162878
4,4.5,0.271868,122.741,62985,162805
4,5,0.273171,122.192,63702,163535
4.5,0.5,0.241523,117.359,70432,170272
4.5,1,0.24266,116.999,70976,170795
4.5,1.5,0.241887,116.995,70984,170800
4.5,2,0.242078,116.73,71364,171188
4.5,2.5,0.242646,116.618,71525,171351
4.5,3,0.242214,117.131,70768,170602
4.5,3.5,0.240599,116.97,71027,170838
4.5,4,0.24295,116.944,71033,170874
4.5,4.5,0.243312,116.995,70974,170800
4.5,5,0.241552,117.192,70681,170514
5,0.5,0.217719,111.87,78820,178625
5,1,0.217683,111.485,79406,179242
5,1.5,0.21773,111.458,79471,179284
5,2,0.218129,111.942,78700,178511
5,2.5,0.217557,111.958,78670,178486
5,3,0.217997,111.609,79236,179042
5,3.5,0.217973,111.664,79136,178955
5,4,0.217857,111.872,78788,178623
5,4.5,0.218555,111.526,79349,179175
5,5,0.217372,111.909,78750,178564
